"model","mu","est.mean","est.var","est.bias","mse.part","mse.sum.part","mae.part","est.esss","abserr.part","cov.part","hpd.part","num_iterations","numsources","diff1","diff2","k","outcome_type","truep","diff1_c","diff2_c"
"relaxedMEM_allornothing",0.5,0.543428250076955,0.0143446391846463,0.0434282500769551,0.0162306520893928,0.0162163074502082,0.104377905310799,10.2175221082554,0.0434282500769551,NA,NA,1000,3,0.333333333333333,0.333333333333333,0.9,"binary",0.5,"Mean Difference SS1 = 0.33","Mean Difference SS2 = 0.33"
"relaxedMEM_max",0.5,0.543155517210959,0.0142147712657709,0.043155517210959,0.0160771699315163,0.0160629551602505,0.104105172444803,10.2175221082554,0.043155517210959,NA,NA,1000,3,0.333333333333333,0.333333333333333,0.9,"binary",0.5,"Mean Difference SS1 = 0.33","Mean Difference SS2 = 0.33"
"relaxedMEM_sqrtmax",0.5,0.543279084148983,0.0142729940263134,0.0432790841489832,0.0161460731510882,0.0161318001570619,0.104228739382827,10.2175221082554,0.0432790841489832,NA,NA,1000,3,0.333333333333333,0.333333333333333,0.9,"binary",0.5,"Mean Difference SS1 = 0.33","Mean Difference SS2 = 0.33"
"relaxedMEM_stretch1",0.5,0.543288351444129,0.0142780725135094,0.0432883514441286,0.0161519538842598,0.0161376758117463,0.104238006677973,10.2175221082554,0.0432883514441286,NA,NA,1000,3,0.333333333333333,0.333333333333333,0.9,"binary",0.5,"Mean Difference SS1 = 0.33","Mean Difference SS2 = 0.33"
"relaxedMEM_stretchsqrt",0.5,0.543187534491527,0.014230214004,0.043187534491527,0.0160953771394568,0.0160811469254528,0.104137189725371,10.2175221082554,0.043187534491527,NA,NA,1000,3,0.333333333333333,0.333333333333333,0.9,"binary",0.5,"Mean Difference SS1 = 0.33","Mean Difference SS2 = 0.33"
"relaxedMEM_twosource",0.5,0.543002122613647,0.0141447721619931,0.0430021226136466,0.0159939547112722,0.0159798099391102,0.103951777847491,10.2175221082554,0.0430021226136466,NA,NA,1000,3,0.333333333333333,0.333333333333333,0.9,"binary",0.5,"Mean Difference SS1 = 0.33","Mean Difference SS2 = 0.33"
"MEM",1,0.993468438144432,0.0218395989926388,-0.00653156185556814,0.0218822602929119,0.0218604206939193,0.111237146996447,17.4211273918703,0.00653156185556814,0.972,0.63644442828207,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_allornothing",1,0.993245020035437,0.0201863453666034,-0.00675497996456287,0.0202319751209251,0.0202117887755585,0.099500808141925,30,0.00675497996456287,0.968,0.561875193135939,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_max",1,0.993459434301529,0.0216876918833812,-0.00654056569847095,0.0217304708830372,0.0217087831911539,0.110479990876115,18.2126291209041,0.00654056569847095,0.971,0.633877422175888,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_sqrtmax",1,0.993365534476209,0.0209696440522473,-0.00663446552379121,0.0210136601850337,0.0209926905409814,0.105671806422296,23.3747486323837,0.00663446552379121,0.971,0.604586901600204,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_stretch1",1,0.993259851243237,0.0203694700548984,-0.00674014875676254,0.0204148996601617,0.0203945301901068,0.100748002243291,28.6962315153193,0.00674014875676254,0.971,0.567956324697463,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_stretchsqrt",1,0.993371506889074,0.0210562975092833,-0.00662849311092617,0.0211002344302049,0.0210791781326956,0.106165651383824,22.8611858377802,0.00662849311092617,0.97,0.606638259620465,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"relaxedMEM_twosource",1,0.993468438144432,0.0218395989926388,-0.00653156185556814,0.0218822602929119,0.0218604206939193,0.111237146996447,17.4211273918703,0.00653156185556814,0.972,0.636752217840868,1000,2,0,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0","Mean Difference SS2 = NA"
"MEM",1,1.01407878509585,0.0234920726369102,0.0140787850958479,0.0236902848266853,0.0236667927540484,0.118081970592587,17.1190245559181,0.0140787850958479,0.966,0.644300498801153,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
"relaxedMEM_allornothing",1,1.01792140531346,0.0226129561183381,0.0179214053134591,0.0229341328867474,0.022911519930629,0.119512057777944,30,0.0179214053134591,0.967,0.577675798147941,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
"relaxedMEM_max",1,1.01435086048217,0.0233969654911198,0.0143508604821683,0.0236029126876985,0.0235795157222074,0.11778766561604,18.2126291209797,0.0143508604821683,0.963,0.641944406977365,1000,2,0.1,NA,0.9,"continuous",NA,"Mean Difference SS1 = 0.1","Mean Difference SS2 = NA"
